date;EURUSD;AUDUSD;EURCHF;EURGBP;EURJPY;NZDUSD;USDCAD
39121;28.39182;-42.982142;-88.994473;-167.915501;-31.17402;0;-69.70437
39122;-5.07458;-74.09313;27.353039;-36.847308;62.22335;0;-310.00085
39125;158.77914;-125.12953;12.557555;66.674676;166.801763;0;50.53169
39126;-0.46146;-100.37318;-22.503412;-175.490957;-31.17135;0;-73.49238
39127;-112.429731;-88.71667;-18.798147;34.945193;-31.16739;0;-49.4463
39128;-7.99056;-0.764312;45.863077;-134.917798;-31.1741;0;-25.53455
39129;-7.30816;-84.60151;8.877272;21.396095;-31.17906;0;-28.88087
39132;26.47717;18.282928;-2.219455;-98.561534;-31.17723;0;9.78961
39133;18.9286;-12.210323;-4.062739;25.834422;-31.17207;0;148.11651
39134;36.07251;-76.561552;-20.6576;-23.179103;69.49953;0;-271.95174
39135;79.51862;18.245863;34.692321;3.569729;123.8394;0;-39.2562
39136;5.25686;-102.27273;49.515926;25.977128;-31.16167;0;-83.91029
39139;19.35851;-61.207526;22.37026;-23.2378;-31.1616;0;53.74677
39140;-168.035509;151.480551;120.594037;-72.136793;-31.1712;0;112.62535
39141;31.29961;-12.1812;38.714;21.370692;-31.18067;0;63.09418
39142;-14.05343;56.515873;53.67727;48.105476;-31.18383;0;122.25064
39143;29.10634;-81.29873;110.74659;-217.404112;-31.19299;0;96.31391
39146;-126.4798;-195.30541;67.21742;91.573479;-31.21969;0;-53.847196
39147;35.01224;14.703606;-91.818453;-5.287741;-31.14791;0;-68.14412
39148;-22.15674;-101.96883;33.276833;-44.9392;-31.2095;0;80.92976
39149;21.19626;18.525189;-120.71499;-22.876584;-31.20359;0;45.25424
39150;-22.80502;-31.51745;-59.70629;109.585813;163.95978;0;-200.06822
39153;-134.686263;-66.91734;48.43529;192.55569;-31.18992;0;-8.19113
39154;-15.2542;-88.46858;87.306917;-14.046999;-31.19705;0;122.00102
39155;0;178.46701;15.50774;117.523242;110.82927;0;63.23842
39156;6.35728;-122.321836;-30.148509;-0.877552;-31.13119;0;55.5414
39157;-14.64569;-105.51438;30.42047;34.174553;-31.1894;0;9.6947
39160;-29.79012;-173.180728;-89.639952;51.768009;91.67626;0;-0.50947
39161;28.20928;-157.517543;-2.230732;153.592656;-31.18059;0;-395.559
39162;22.098285;-101.49001;-98.553803;34.46244;70.42613;0;-81.25032
39163;21.99084;6.693772;-20.754577;38.873837;92.9819;0;25.39299
39164;-86.21079;29.056772;5.187683;30.092046;-31.17643;0;61.48812
39167;139.03262;-94.75444;-35.535375;12.421993;94.99587;0;-18.59024
39168;-40.898264;32.636107;-0.370206;-75.958311;18.67971;0;15.0337
